Number,Title of Article,Link,Data Type by Origin,Data Collection Type,Data by Disciplinary Concept,Qualitative vs Quantitative,Descriptions on what is being recorded,Direct Quotes,Journals,
18,Frankenstein and the Feminine Subversion of the Novel,https://www.jstor.org/stable/463717?casa_token=LXXtqpKCKt4AAAAA%3AtI1NjFh7PHK-WHW8erJhzuyjNl6DTg2hZ3di6F83we2fLTonQOoWxCujeGpN82_CTXkz5vwCNgmubaqBbv5M7UDOvq7rJPF8y7bW0lkQUApSkwb_a6w&seq=1#metadata_info_tab_contents,records,research,secondary,Qualitative,"The article notes the cultural significance and contradictions portrayed in the novel that compare female uprising and the traditional patriachy that Shelley lived in. The article argues that Shelley maintains a partiarichal structure and narrative, yet priviledges the feminine.",,,
19,"Frankenstein, feminism, and literary theory",https://epublications.marquette.edu/cgi/viewcontent.cgi?referer=https://scholar.google.com/&httpsredir=1&article=1051&context=english_fac,records,research,secondary,Qualitative,"The article discussed Shelley's contribution of feminst theory in literature and highlights how the notable novel was constructed the experiences of womanhood and the domestic sphere. The article analyzes language to prove the writing's feminity, instincts of women, and female subjectivity.",,,
20,Frankenstein and the Monster of Representation,https://www.jstor.org/stable/3683905?casa_token=6vT9aEitwfwAAAAA%3ApN2HljN0W9MGRmT8aRqHL600hP8RUtgvecXRYeV_b8cmIPKh3qeSNHTgcNUzD0zvK3_-KNyZDgf9vLNx8GHHxbp87ZxxAhT74I5Ss9EA1hmBgxRy29E&seq=1#metadata_info_tab_contents,records,reference,secondary,Qualitative,"The article portrays the various characteristics of the monster and classifies the creature's emotion, features, and behavioral actions. It describes Shelley's motives for the representation of the distortion and disorder. The article compares the interpretations of scholars who have opposing interpretations of the monster that include choas, tenderness, killer, emotional, and notes the moster's inability to speak.",,,
21,"Visual Culture and The Word in Edgar Allen Poe's ""The Man of the Crowd""",https://doi.org/10.1525/ncl.2002.56.4.445,observational,reference,secondary,Qualitative,"Narrative descriptions and observations of Poe's ""The Man of the Crowd"" ",,,
22,Poe's Subliminity: The Role of Burkean Aesthetics,http://www.jstor.org/stable/41506003,observational,reference,secondary,Qualitative,"Demonstration of Poe's mocking attitude toward transcendental aesthetics and philosophical idealism, and so help bolster the argument for Poe's greater affinity with the materialist views of John Locke, as opposed to those theories more properly associated with ""the romantic sublime"".",,,
23,The Crowd Within: Poe's Impossible Aloneness,http://www.jstor.org/stable/41506004,observational,reference,secondary,Qualitative,"Analysis in Poe's writing demonstrating the manner in which one's sense of self-what seems to be most intimate and one's own--is the product of social and
historical context. ",,,
24,"Poe in Cyberspace: ""Is Faster the New Slower? Welcome to the Future!""",http://www.jstor.org/stable/41506010,observational,reference,secondary,Qualitative,The eventual point of Poe's satire that progress can be an illusion- is often borne out when our own technological progress is accompanied by offsetting technological hazards.,,,
25,"On Memory, Forgetting, and Complicity in ""The Cask of Amontillado""",https://doi.org/10.5325/edgallpoerev.15.2.0194,observational,reference,secondary,Qualitative,"This article explores the relationship between audience, the motive for murder, and narrative purpose in Poe's ""The Cask of Amontillado,"" arguing ultimately that the various questions raised by these aspects of the text are far more interconnected than has frequently been acknowledged.",,,
26,A Poe Death Dossier: Discoveries and Queries in the Death of Edgar Allen Poe ,http://www.jstor.org/stable/41506002,observational,reference,secondary,Qualitative,Record and Identification of several of the ways of Poe's decline and death and the effect of this in his literary works and legacy ,,,
27,"""I knew the sound well"": Rhetorical Mockery in ""The Tell-Tale Heart""",https://doi.org/10.5325/edgallpoerev.22.2.0312,observational,reference,secondary,Qualitative,"Arguing Poe ironically emphasizes that sound is the character's undoing, displays his control through the rhetorical device of deixis, which derides the storyteller's inability to separate the narratorial past from the narratorial present.",,,
28,"The Uncanny Mind: Perpatrator Trauma in Poe's ""The Black Cat""",https://doi.org/10.5325/edgallpoerev.22.2.0329,observational,reference,secondary,Qualitative,Observation of trauma theory within the text and the impact of that on the reader. ,,,
29,,https://doi.org/10.5325/edgallpoerev.16.1.0001,observational,reference,secondary,Qualitative,"The first is a more documentary one, namely, to give a broad overview, including short characteristics, of the rich operatic production following Poe's texts. The second is a more interpretative one, that is, to investigate the reasons that brought Poe to such a privileged position.",,,
30,"Sonority and Semantics in ""Annabel Lee""",https://doi.org/10.5325/edgallpoerev.16.1.0107,observational,reference,secondary,Qualitative,"Article aims to demonstrate that ""Annabel Lee"" poem is a prime example of the way in which metrical and phonetic orchestration in Poe's poetry contributes to the development of meaning.",,,
31,"""My Heart Laid Bare"": Poe's Poetic Autobiography Revealed in Verse and Embedded in Prose ",https://doi.org/10.5325/edgallpoerev.16.1.0094,observational,reference,secondary,Qualitative,"Observation and record of Poe's work constituting an autobiographical poem, a beautifully phrased portrait of Poe as he conceived of himself, along with his conception of the role of the poet.",,,
32,"Poe's ""Philosophy of Comp[utation]"": A Programmer's Guide to ""The Raven""",https://doi.org/10.5325/edgallpoerev.21.2.0224,observational,reference,secondary,Qualitative,"Procedural study of Poe's composition of ""The Raven""; moreover, the claimed order of operations between the essay and poem, increasingly untenable, leads Poe to offload on to his readers the poem's ""excess of meaning.""",,,
33,"""Things Fall Apart; the Centre Cannot Hold"": Roderick Usher's Challenges with Sensory Processing in ""The Fall of the House of Usher"" ",https://doi.org/10.5325/edgallpoerev.21.2.0175,observational,reference,secondary,Qualitative,"The instability and disorganization of the Usher mansion that Poe depicts, the dire consequences from loss of mental control he expresses through ""The Haunted Palace,"" and the shocking fate of Roderick's expiring after extreme sensory overload reveal the horror of Usher's malady-and Poe's ability to transmute medical information into Gothic art. ",,,
34,Poe and Gothic Creativity ,http://www.jstor.org/stable/41506386,observational,reference,secondary,Qualitative,"Poe's literary creations have undoubtedly enabled us to perceive the mystery and terror of our restless souls, showing that the manifestation of horror in creativity should be understood as a response to a world desensitized to violence and human perversity, and art is not immune to such destructive effects.",,,
35,"Shared Identity Constructs and the Cognitive Triad Respresented in Poe's ""Alone""",http://www.jstor.org/stable/41506395,observational,reference,secondary,Qualitative,"Physcological and observational analysis on Poe's piece ""Alone"" and the greater historical context of that as well.",,,
36,Horror from the Soul: Gothic Style in Allen Poe's Horror Fictions ,https://files.eric.ed.gov/fulltext/EJ1075227.pdf,observational,reference,secondary,Qualitative,"By means of symbol, suspense, first person narrator, exaggeration of atmosphere and anti-closure, Poe tried his best to construct an intact uniform, mysterious and shaking effect. ",,,
37,"Spell of Demise, Psychosis and Haunting: Gothicism as a Rudimentary Attribute in the Works of Edgar Allen Poe ",https://saudijournals.com/media/articles/SIJLL_44_100-105_FT.pdf,observational,reference,secondary,Qualitative,"Very little literature is available for highlighting this important scenario of literature and needs a detailed analysis for enlightening the spell bound work of EAP by Gothicism. Thus, present research covers these entire research gaps and is a source of opening a window for new researchers to work in the light of above explained theme of work.",,,
38,Reasoning through madness: the detective in Gothic Crime Fiction ,https://doi.org/10.1057/palcomms.2017.45,observational,reference,secondary,Qualitative,"To correlate the works of Poe and Doyle to the prevailing discourse of the nineteenth century, considering advances in epistemology, criminology and criminal investigations; second, to draw attention to the role of ratiocination and various forms of reasoning in solving crimes and the resolution of the fear of death and monster through the works of Poe and Doyle; third, to evaluate Poe and Doyle’s ideas regarding the police, crime solving and the intersection of science and crime as expressed through their stories.",,,
39,"""An Effect All Together Unexpected: The Grotesque in Edgar Allen Poe's Fiction""",https://scholarworks.uvm.edu/graddis/705,observational,reference,secondary,Qualitative,"An exploration of Edgar Allan Poe’s aesthetic influences, his place within the gothic tradition and describe the three elements that create his specific grotesque aesthetic: the affective reader, obsessive design, and haptic space.",,,
40,Gothicism in The Fall of the House of Usher,https://www.scirp.org/html/3-2820128_53442.htm,observational,reference,secondary,Qualitative,"This paper borrowing a critical perspective of Gothic tradition and theory of the sublime, tries to analyze the Gothicism in this novel to detect its aesthetic feature.",,,
41,The Question of Value: Reading Stephen King in a Literary Context,https://www.proquest.com/docview/304919108?pq-origsite=gscholar&fromopenview=true,observational,reference,secondary,Qualitative,"The perception of Stephen King, his work, and his merit as a writer. Also examines our culture's definition/understanding of literature ",The question of value: Reading Stephen King in a literary context,,
42,"The literary equivalent of a Big Mac and fries? Academics, moralists, and the Stephen King phenomenon",https://www.proquest.com/docview/195710094?pq-origsite=gscholar&fromopenview=true,observational,reference,secondary,Qualitative,"The ""literary legitimacy"" of Stephen King works.","There has been an ongoing debate concerning the literary legitimacy of the novels of Stephen King. While they sell in unbelievable amounts, critics and cynics allege that it's simply not good literature. However, by offering his readers quality narratives in which they can vicariously escape widespread social corruption, King seems to provide a fictional outlet for a nation of jaded former idealists.",,
43,Why Stephen King Still Matters,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781118608395.ch28,observational,reference,secondary,Qualitative,The socio-political critiques of society and American culture in Stephen King novels. ,"This chapter makes the argument that the importance of Stephen King as an American writer is undeniable. King employs the gothic supernatural as a means for raising sociological and political concerns about the “real” world. At the same time that King should be read as a social critic of his era, he is also fiercely committed to core American values, such as his reliance on individualism and self-reliance.",,
44,Dissecting Stephen King: From the Gothic to Literary Naturalism,https://books.google.com/books?hl=en&lr=&id=JLP4mU_ZmsYC&oi=fnd&pg=PP11&dq=stephen+king+literary+criticism&ots=x0TdpF1Mh_&sig=4oxlXkhFnj4X23Ruwpe4ff6c5nk#v=onepage&q=stephen%20king%20literary%20criticism&f=false,observational,reference,secondary,Qualitative,Compares Stephen King's works to the typical characteristics of the horror and gothic genre.  ,"In a thoughtful, well-informed study exploring fiction from throughout Stephen King's immense oeuvre, Heidi Strengell shows how this popular writer enriches his unique brand of horror by building on the traditions of his literary heritage. Tapping into the wellsprings of the gothic to reveal contemporary phobias, King invokes the abnormal and repressed sexuality of the vampire, the hubris of Frankenstein, the split identity of the werewolf, the domestic melodrama of the ghost tale. Drawing on myths and fairy tales, he creates characters who, like the heroic Roland the Gunslinger and the villainous Randall Flagg, may either reinforce or subvert the reader's childlike faith in society. And in the manner of the naturalist tradition, he reinforces a tension between the free will of the individual and the daunting hand of fate.",,
45,,https://scholarsarchive.byu.edu/cgi/viewcontent.cgi?article=1024&context=libraryrg_studentpub,observational,reference,secondary,Qualitative,Various academic sources/articles relating to Stephen King and his works. ,Annotated bibliography of papers on Stephen King and his works.,,
46,"Writing Horror and the Body: The Fiction of Stephen King, Clive Barker, and Anne Rice",https://books.google.com/books?hl=en&lr=&id=iaHQorgoqd4C&oi=fnd&pg=PR7&dq=stephen+king+literary+criticism&ots=RuGcyNFD5u&sig=fgp65nvgwT7MDw-gPpX_6yk1ee8#v=onepage&q=stephen%20king%20literary%20criticism&f=false,observational,reference,secondary,Qualitative,Perception and description of the body and self within the horror fiction genre.,"In this sequel to Film, Horror, and the Body Fantastic, Badley examines horror fiction as a fantastic genre in which images of the body and the self are articulated and modified. Badley places horror fiction in its cultural context, drawing important connections to theories of gender and sexuality. As our culture places increasing importance on body image, horror fiction has provided a language for imagining the self in new ways--often as ungendered, transformed, or re-generated. Focusing on the works of Stephen King, Clive Barker, and Anne Rice, Badley approaches horror as a discourse that articulates the anxieties of our culture.",,
47,The Moral Voyages of Stephen King,https://books.google.com/books?hl=en&lr=&id=E3krq6zLEX8C&oi=fnd&pg=PR1&dq=stephen+king+literary+criticism&ots=WtXH1hr2bX&sig=FeKvKHOfPFB6lGHOnQVt-eCx69M#v=onepage&q=stephen%20king%20literary%20criticism&f=false,observational,reference,secondary,Qualitative,The morality inside Stephen King novels.,Magistrale discusses the themes that turn King's fiction into morality tales,,
48,Landscape of Fear: Stephen King's American Gothic,https://books.google.com/books?id=rwXN_57dZhAC&dq=stephen+king+literary+criticism&lr=&source=gbs_navlinks_s,observational,reference,secondary,Qualitative,The socio-political critiques within Stephen King novels. ,"One of the very first books to take Stephen King seriously, Landscape of Fear (originally published in 1988) reveals the source of King's horror in the sociopolitical anxieties of the post-Vietnam, post-Watergate era. In this groundbreaking study, Tony Magistrale shows how King's fiction transcends the escapism typical of its genre to tap into our deepest cultural fears: ""that the government we have installed through the democratic process is not only corrupt but actively pursuing our destruction, that our technologies have progressed to the point at which the individual has now become expendable, and that our fundamental social institutions-school, marriage, workplace, and the church-have, beneath their veneers of respectability, evolved into perverse manifestations of narcissism, greed, and violence.""",,
49,How to Analyze the Works of Stephen King,https://books.google.com/books?hl=en&lr=&id=C2x3AgAAQBAJ&oi=fnd&pg=PP1&dq=stephen+king+literary+criticism&ots=CvuTEokd1J&sig=p2q6nEV0RPE4fdfD3NXZZpy2JRY#v=onepage&q=stephen%20king%20literary%20criticism&f=false,observational,reference,secondary,Qualitative,Analyzing various works by Stephen King.,"This title explores the creative works of famous novelist Stephen King. Books analyzed include Carrie, The Green Mile, The Stand, and the Dark Tower series. Clear, comprehensive text gives background biographical information of King. ""You Critique It"" feature invites readers to analyze other creative works on their own.",,
50,Stephen King: America's Storyteller,https://books.google.com/books?hl=en&lr=&id=neqOJbFjVvEC&oi=fnd&pg=PP1&dq=stephen+king+literary+criticism&ots=6RvWDs3GCV&sig=JZUXFhFx-HA5-WZuYXq5WGJ5h4Q#v=onepage&q=stephen%20king%20literary%20criticism&f=false,observational,reference,secondary,Qualitative,The view and critique of American culture inside Stephen King novels.,"This analysis of the work of Stephen King explores the distinctly American fears and foibles that King has celebrated, condemned, and generally examined in the course of his wildly successful career.",,
51,"Stephen King, Incorporated: Genre Fiction and the Problem of Authorship",https://academic.oup.com/alh/article/33/2/271/6133116?login=true,observational,reference,secondary,Qualitative,Stephen King's career and success in the publishing industry.,"This essay examines Stephen King’s career in relation to the evolving literary status of genre fiction. Following the financialization of the publishing industry, genre fiction became one of its most profitable forms. As a result, agents and houses sought to invest in brand-name authors who could attract a mass-market readership based on reputation alone.",,
52,Stephen King: A Literary Companion,https://books.google.com/books?id=EpgZDgAAQBAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,observational,reference,secondary,Qualitative,The reception of Stepehn King novels by critics and rest of the world. ,"This companion provides a two-part introduction to best-selling author Stephen King, whose enormous popularity over the years has gained him an audience well beyond readers of horror fiction, the genre with which he is most often associated. Part I considers the reception of King's work, the film adaptations that they gave rise to, the fictional worlds in which some of his novels are set, and the more useful approaches to King's varied corpus. Part II consists of entries for each series, novel, story, screenplay and even poem, including works never published or produced, as well as characters and settings.",,
53,American Horror Fiction: From Brockden Brown to Stephen King,https://books.google.com/books?hl=en&lr=&id=efGuCwAAQBAJ&oi=fnd&pg=PR7&dq=stephen+king+literary+criticism&ots=AmcJcaTiT7&sig=zv-CoaxrS5qw33KxP__92_ph6pk#v=onepage&q=stephen%20king%20literary%20criticism&f=false,observational,reference,secondary,Qualitative,Major authors within the American horror/gothic genre.,"This volume offers critical and theoretical perspectives on a genre which has remained popular for nearly two hundred years: American horror fiction. There are essays on Charles Brockden Brown, Edgar Allan Poe, H.P.Lovecraft, William Faulkner, Robert Bloch, Patricia Highsmith, Shirley Jackson, Stephen King and Suzy McKee Charnas, covering the period from 1798 to 1983. Each essay deals with a major figure in the genre, from Gothic orginators to modern feminist reworkings.",,
54,The Stephen King Companion: Four Decades of Fear from the Master of Horror,https://books.google.com/books?hl=en&lr=&id=eWeWBgAAQBAJ&oi=fnd&pg=PP1&dq=stephen+king+literary+criticism&ots=Prown90mxt&sig=GuE2tko7EsEAdk2MInrRMQtkplw#v=onepage&q=stephen%20king%20literary%20criticism&f=false,observational,reference,secondary,Qualitative,Perception and success of Stephen King.,"King expert George Beahm, who has published extensively about Maine's main author, is your seasoned guide to the imaginative world of Stephen King, covering his varied and prodigious output: juvenalia, short fiction, limited edition books, bestselling novels, and film adaptations.",,
55,Stylometric Literariness Classification: the Case of Stephen King,https://aclanthology.org/2021.latechclfl-1.21/,observational,research,processed,Quantitative,"""Quantify the literariness of 73 novels and novellas by Stephen King.""","This paper applies stylometry to quantify the literariness of 73 novels and novellas by American author Stephen King, chosen as an extraordinary case of a writer who has been dubbed both “high” and “low” in literariness in critical reception. We operationalize literariness using a measure of stylistic distance (Cosine Delta) based on the 1000 most frequent words in two bespoke comparison corpora used as proxies for literariness: one of popular genre fiction, another of National Book Award-winning authors.",,
56,The Linguistics of Stephen King: Layered Language and Meaning in the Fiction,https://books.google.com/books?hl=en&lr=&id=62EqDwAAQBAJ&oi=fnd&pg=PP1&dq=stephen+king+literary+criticism&ots=KtXzSih-xF&sig=BJ3Ci02awExMIvwJq8ZZalzb55Q#v=onepage&q=stephen%20king%20literary%20criticism&f=false,observational,reference,secondary,Qualitative,"Stephen King's influence over popular culture and horror genre, as well as the socio-political critiques inside his novels.","Stephen King, ""America's Favorite Boogeyman,"" has sold over 350 million copies of his books, becoming in effect the face of horror fiction. His influence on popular culture has drawn both strong praise and harsh criticism from reviewers and scholars alike. While his popularity cannot be overstated, his work has received relatively little critical attention from the academic world. Examining King's fiction using modern literary theory, this study reveals the unexpected complexity of 22 short stories and novels, from Carrie to End of Watch. The author finds King using fantasy and horror to expose truths about reality and the human condition.",,
57,,,records,source or community,primary,,,Stephen King's Misery,,
58,,,records,source or community,primary,,,Stephen King's The Shining,,
59,,,records,source or community,primary,,,Stephen King's Carrie,,
60,,,records,source or community,primary,,,Stephen King's Pet Semetary,,
61,A Deep Dive Into the Anne Rice Fanfiction Debacle,https://august-t.medium.com/a-deep-dive-into-the-anne-rice-fanfiction-debacle-d7932b879bda,records,research,secondary,Qualitative,,,Medium (blog site),
62,Anne Rice- Letters from Fans,http://annerice.com/ReaderInteraction-LettersFromFans.html,records,research,primary,Qualitative,Written letters from fans to Anne Rice in response to her various works.,,Anne Rice- the Official Site,
63,"Anne Rice, best-selling novelist who helped launch a vampire revival, dies at 80",https://www.washingtonpost.com/obituaries/2021/12/13/anne-rice-dead/,records,reference,primary,Qualitative,Obituary detailing the life of recently deceased author Anne Rice.,,"Washington Post, (2021, Dec 13)",
64,Anne Rice’s Final Interview: ‘I Am Known to Be Passionate’: By the Book,https://www.proquest.com/blogs-podcasts-websites/anne-rice-s-final-interview-i-am-known-be/docview/2610158170/se-2?accountid=14512,records,reference,primary,Qualitative,The final interview of author Anne Rice before her death in December 2021.,,"New York Times (Online), (2021, Dec 15)",
65,Becoming-Other: (Dis)Embodiments of Race in Anne Rice’s Tale of the Body Thief,https://id.erudit.org/iderudit/014004ar,records,research,secondary,Qualitative,,"The vampire/human split in Anne Rice's Vampire Chronicles is structured like a racial split. Becoming a vampire constitutes an essence, a shared material difference that is not something humans can come close to understanding. In the process of erasing actual racial differences through the ""Dark Gift"", Rice relies on embodiments of ethnicity and racial specificity in her management of gay male desire (a major factor in her popularity). ","Romanticism on the Net, (44)",
66,Blood Communion's powerful message of morality: Anne Rice's newest addition to the Vampire Chronicles further shatters notions of heteronormativity,https://search.proquest.com/docview/2610158120?pq-origsite=primo,records,source or community,secondary,Qualitative,Book review of Anne Rice's 14th novel Blood Communion. ,,"The Globe and Mail, (2018, Oct 29) ",
67,Blood relations: the gothic perversion of the nuclear family in Anne Rice's Interview with the Vampire.,https://www.proquest.com/undefined/blood-relations-gothic-perversion-nuclear-family/docview/2152809594/se-2?accountid=14512,records,source or community,secondary,Qualitative,,"Prior to 1976, in film and fiction, the vampire was portrayed into the mold in which he had been cast by Bram Stoker in the greatest of the nineteenth-century vampire novels, Dracula--an essentially solitary predator whose presence was the stimulus for an intrepid group of vampire hunters to form and bay in his pursuit, and whose time to center stage was limited to brief, menacing appearances and capped with a spectacular death scene. All this changed however, when Anne Rice published her first novel, Interview with the Vampire in 1976, and turned the vampire paradigm on its head. Benefiel offers an in-depth discussion of the Gothic perversion of the nuclear family in Rice's breakthrough novel.","Journal of Popular Culture Vol. 38, Iss. 2,: 261-73. (2004)",
68,Contemporary Consciousness as Reflected in Images of the Vampire,http://www.jstor.org/stable/10.1525/jung.2011.5.4.83,records,source or community,secondary,Qualitative,,"This paper focuses on modern consciousness through changes in the vampire image in modern fiction and film. During the twentieth century, vampires have evolved through three stages: early images show the vampire as a grotesque monster; later, the vampire becomes a fascinating and noble character; and most recently, the vampire has become emotional and introspective. An illustration of the historical change of consciousness that connects with these images is given, and a relationship between the most recent vampire image and consciousness is proposed. From this viewpoint, contemporary consciousness is characterized by a lack of the outside.","Jung Journal: Culture & Psyche, 5(4), 83–99",
69,"Contemporary Women Writers and the ""New Evil"": The Vampires of Anne Rice and Suzy McKee Charnas",http://www.jstor.org/stable/43308165,records,source or community,secondary,Qualitative,,,"Journal of the Fantastic in the Arts
Vol. 5, No. 3 (19)",
70,Could Anne Rice Adaptations Make for an Adult ‘Twilight’ Franchise?,https://www.cheatsheet.com/entertainment/could-anne-rice-adaptations-make-for-an-adult-twilight-franchise.html/,records,research,secondary,Qualitative,,"The vampire novel adaptation craze isn't over with 'Twilight,' as Universal has optioned the rights to all of Anne Rice's vampire novels.",Showbiz Cheat Sheet (Entertainment site),
